CountryName,Date,new_cases,Search Index
Italy,2020-06-14,1772.0,54.0
Italy,2020-06-21,1861.0,32.0
Italy,2020-06-28,1283.0,16.0
Italy,2020-07-05,1408.0,24.0
Italy,2020-07-12,1389.0,32.0
Italy,2020-07-19,1648.0,0.0
Italy,2020-07-26,1968.0,34.0
Italy,2020-08-02,2271.0,25.0
Italy,2020-08-09,3335.0,36.0
Italy,2020-08-16,4698.0,9.0
Italy,2020-08-23,8717.0,33.0
Italy,2020-08-30,9485.0,39.0
Italy,2020-09-06,9959.0,32.0
Italy,2020-09-13,10272.0,16.0
Italy,2020-09-20,11535.0,8.0
Italy,2020-09-27,14647.0,24.0
Italy,2020-10-04,26743.0,48.0
Italy,2020-10-11,53042.0,25.0
Italy,2020-10-18,101973.0,32.0
Italy,2020-10-25,174921.0,24.0
Italy,2020-11-01,223060.0,23.0
Italy,2020-11-08,242062.0,23.0
Italy,2020-11-15,235979.0,0.0
Italy,2020-11-22,184001.0,16.0
Italy,2020-11-29,145459.0,15.0
Italy,2020-12-06,115784.0,8.0
Italy,2020-12-13,112308.0,8.0
Italy,2020-12-20,100676.0,45.0
Italy,2020-12-27,102442.0,17.0
Italy,2021-01-03,116665.0,23.0
Italy,2021-01-10,110867.0,8.0
Italy,2021-01-17,86452.0,16.0
Italy,2021-01-24,86598.0,8.0
Italy,2021-01-31,83315.0,40.0
Italy,2021-02-07,85721.0,24.0
Italy,2021-02-14,84977.0,25.0
Italy,2021-02-21,112029.0,0.0
Italy,2021-02-28,138937.0,8.0
Italy,2021-03-07,155076.0,16.0
Italy,2021-03-14,154493.0,15.0
Italy,2021-03-21,156122.0,16.0
Italy,2021-03-28,137794.0,17.0
Italy,2021-04-04,103830.0,26.0
Italy,2021-04-11,103366.0,0.0
Italy,2021-04-18,92074.0,40.0
Italy,2021-04-25,86100.0,24.0
Italy,2021-05-02,67304.0,42.0
Italy,2021-05-09,50453.0,16.0
Italy,2021-05-16,34816.0,8.0
Italy,2021-05-23,24865.0,17.0
Italy,2021-05-30,17098.0,17.0
Italy,2021-06-06,13329.0,17.0
Italy,2021-06-13,8613.0,27.0
Italy,2021-06-20,5194.0,36.0
Italy,2021-06-27,5222.0,45.0
Italy,2021-07-04,7374.0,18.0
Italy,2021-07-11,14447.0,9.0
Italy,2021-07-18,28341.0,19.0
